Title, URL
Microsoft AI Spying Scandal: Time to Rethink Privacy Standards,https://spectrum.ieee.org/online-privacy
Most Life on Earth Is Dormant, After Pulling an 'Emergency Brake',https://www.quantamagazine.org/most-life-on-earth-is-dormant-after-pulling-an-emergency-brake-20240605/
Boeing Starliner launches first crewed mission,https://www.bbc.co.uk/news/live/world-us-canada-69094213
Vulkan1.3 on the M1 in one month,https://rosenzweig.io/blog/vk13-on-the-m1-in-1-month.html
Mathematical Optimization for Cargo Ships,https://research.google/blog/heuristics-on-the-high-seas-mathematical-optimization-for-cargo-ships/
An Overview of the Starlark Language,https://laurent.le-brun.eu/blog/an-overview-of-starlark
Show HN: Original 8x16 ASCII Fixed Width Font: Classic Console Neue,https://webdraft.hu/fonts/classic-console/
DHCPv6-PD â€“ First Steps,https://sha256.net/dhcpv6-pd-first-steps.html
Researchers to retract landmark Alzheimer's paper containing doctored images,https://www.science.org/content/article/researchers-plan-retract-landmark-alzheimers-paper-containing-doctored-images
We improved the performance of a userspace TCP stack in Go,https://coder.com/blog/delivering-5x-faster-throughput-in-coder-2-12-0